# List saved by vdb on 2022-05-20 from command d = trends x
Month,BA.1.1,AY.103,AY.44,B.1.429,BA.1.15,Other,Count
Mar 2020,0.0,0.0,0.0,0.0,0.0,100.0,30
Apr 2020,0.0,0.0,0.0,0.0,0.0,100.0,27
May 2020,0.0,0.0,0.0,0.0,0.0,100.0,25
Jun 2020,0.0,0.0,0.0,0.0,0.0,100.0,16
Jul 2020,0.0,0.0,0.0,0.0,0.0,100.0,26
Aug 2020,0.0,0.0,0.0,0.0,0.0,100.0,21
Sep 2020,0.0,0.0,0.0,0.0,0.0,100.0,17
Oct 2020,0.0,0.0,0.0,0.0,0.0,100.0,39
Nov 2020,0.0,0.0,0.0,9.090909090909092,0.0,90.9090909090909,77
Dec 2020,0.0,0.0,0.0,17.897727272727273,0.0,82.10227272727273,352
Jan 2021,0.0,0.0,0.0,27.930174563591024,0.0,72.06982543640898,401
Feb 2021,0.0,0.0,0.0,35.072463768115945,0.0,64.92753623188406,345
Mar 2021,0.0,0.0,0.0,35.294117647058826,0.0,64.70588235294117,340
Apr 2021,0.0,0.0,0.0,6.437768240343348,0.0,93.56223175965665,233
May 2021,0.0,0.0,0.0,1.5544041450777202,0.0,98.44559585492227,193
Jun 2021,0.0,5.69620253164557,7.594936708860759,0.6329113924050633,0.0,86.07594936708861,158
Jul 2021,0.0,17.926356589147286,20.058139534883722,0.29069767441860467,0.0,61.724806201550386,1032
Aug 2021,0.0,21.71226831421006,22.241835834068844,0.0,0.0,56.04589585172109,1133
Sep 2021,0.0,22.436849925705793,19.61367013372957,0.2971768202080238,0.0,57.65230312035661,673
Oct 2021,0.0,23.696682464454977,26.22432859399684,0.0,0.0,50.07898894154818,633
Nov 2021,0.0,23.891625615763548,21.059113300492612,0.0,0.0,55.04926108374384,812
Dec 2021,26.431372549019606,10.431372549019608,9.72549019607843,0.0,13.490196078431373,39.92156862745098,1275
Jan 2022,61.66194523135033,0.18885741265344666,0.18885741265344666,0.0,16.24173748819641,21.718602455146364,1059
Feb 2022,68.54395604395604,0.0,0.0,0.0,13.04945054945055,18.406593406593405,728
Mar 2022,52.747252747252745,0.0,0.0,0.0,3.2967032967032965,43.956043956043956,182
